frame_number static_density dynamic_density
1 0.0698363 0.0981079
6 0.0733531 0.103172
11 0.0866623 0.0457986
16 0.0935378 0.0619966
21 0.0979459 0.0644599
26 0.104157 0.0722956
31 0.110177 0.0729965
36 0.112649 0.0884369
41 0.115124 0.0888056
46 0.117474 0.100154
51 0.1189 0.0833036
56 0.129268 0.0745523
61 0.135013 0.0268293
66 0.128215 0.0326594
71 0.121485 0.0136091
76 0.126141 0.0233895
81 0.135038 0.0314035
86 0.153889 0.0633822
91 0.174054 0.0742565
96 0.182846 0.0822948
101 0.185617 0.0889109
106 0.178616 0.0855603
111 0.183255 0.090491
116 0.193453 0.100766
121 0.195466 0.12719
126 0.198371 0.12597
131 0.202751 0.132096
136 0.209772 0.146905
141 0.216174 0.153391
146 0.217041 0.157568
151 0.215201 0.13441
156 0.210287 0.142079
161 0.205036 0.137627
166 0.201689 0.134754
171 0.198955 0.125764
176 0.197739 0.120906
181 0.197597 0.111089
186 0.196325 0.0905032
191 0.195345 0.0884369
196 0.196435 0.0522567
201 0.196228 0.0286363
206 0.196552 0.0231059
211 0.196706 0.0290576
216 0.19573 0.032546
221 0.197942 0.0673649
226 0.197204 0.0261
231 0.19701 0.0247225
236 0.19808 0.0284215
241 0.195572 0.0261243
246 0.194713 0.0193988
251 0.19451 0.0188032
256 0.194121 0.0155579
261 0.194405 0.0121668
266 0.194101 0.0236002
271 0.19308 0.0555344
276 0.194903 0.0235799
281 0.203205 0.0216311
286 0.213281 0.0280245
291 0.211352 0.0438781
296 0.205312 0.0295924
301 0.199303 0.0442995
306 0.197156 0.0318734
311 0.198339 0.0418564
316 0.19684 0.0354064
321 0.19558 0.0972612
326 0.196159 0.0700875
331 0.196054 0.0563933
336 0.196078 0.0292764
341 0.197642 0.0174945
346 0.200276 0.023981
351 0.200405 0.0250587
356 0.200385 0.025946
361 0.200413 0.0217122
366 0.199761 0.0177417
371 0.197796 0.0202658
376 0.196872 0.0163236
381 0.196678 0.0152581
386 0.202054 0.0216149
391 0.207475 0.0497529
396 0.211324 0.061794
401 0.213374 0.056134
406 0.22249 0.0594441
411 0.239203 0.0606555
416 0.260878 0.0939916
421 0.275257 0.141942
426 0.295928 0.144701
431 0.313881 0.18804
436 0.330006 0.231177
441 0.335775 0.254428
446 0.342278 0.259339
451 0.350879 0.27452
456 0.357674 0.279037
461 0.363881 0.280305
466 0.366202 0.282489
471 0.369994 0.298845
476 0.369476 0.290876
481 0.369002 0.28554
486 0.369816 0.273037
491 0.37042 0.272863
496 0.369869 0.254133
501 0.375958 0.00993842
506 0.396001 0.0405761
511 0.41354 0.0517867
516 0.421858 0.0828742
521 0.443064 0.0869257
526 0.454197 0.0707155
531 0.460044 0.0793858
536 0.464087 0.0856211
541 0.468301 0.100324
546 0.466449 0.106531
551 0.462244 0.105514
556 0.460404 0.10547
561 0.45897 0.108107
566 0.454821 0.250397
571 0.458557 0.126262
576 0.464399 0.0292156
581 0.473795 0.0425087
586 0.481724 0.0482416
591 0.490665 0.0602099
596 0.514002 0.0760838
601 0.532449 0.0738919
606 0.544056 0.0802609
611 0.568406 0.0820476
616 0.577858 0.0941617
621 0.588599 0.121716
626 0.59197 0.111887
631 0.595369 0.116623
636 0.59778 0.122458
641 0.598035 0.0714691
646 0.597614 0.102589
651 0.600636 0.0594927
656 0.602034 0.0567418
661 0.602962 0.0741147
666 0.604647 0.0836926
671 0.605231 0.086006
676 0.60709 0.0934527
681 0.610015 0.106835
686 0.611531 0.105372
691 0.610696 0.108524
696 0.614063 0.171238
701 0.61333 0.131144
706 0.613864 0.0847136
711 0.615858 0.108686
716 0.618167 0.0757718
721 0.623859 0.149015
726 0.624439 0.121181
731 0.624228 0.0936715
736 0.625598 0.112309
741 0.627652 0.0118102
746 0.634292 0.14827
751 0.636395 0.0107447
756 0.63746 0.086873
761 0.638976 0.0511304
766 0.638773 0.0333928
771 0.6478 0.0601856
776 0.647443 0.107552
781 0.647172 0.0289968
786 0.646491 0.017454
791 0.647816 0.013362
796 0.642027 0.0175877
801 0.639511 0.0222146
806 0.636679 0.0323515
811 0.637882 0.0550968
816 0.652759 0.0638441
821 0.67452 0.122915
826 0.70664 0.0457054
831 0.729025 0.0313791
836 0.736326 0.0276274
841 0.740467 0.0267766
846 0.754639 0.0910785
851 0.756892 0.02563
856 0.757597 0.0393647
861 0.758772 0.0256746
866 0.758379 0.0485536
871 0.758674 0.0738716
876 0.761932 0.039547
881 0.758792 0.0462078
886 0.757293 0.0341828
891 0.759051 0.0192002
896 0.757896 0.032311
901 0.75741 0.0200551
906 0.751041 0.103257
911 0.750648 0.0188842
916 0.753772 0.0133701
921 0.755328 0.0192245
926 0.755838 0.00618264
931 0.75707 0.114768
936 0.758131 0.0180901
941 0.757102 0.0166842
946 0.753399 0.0225995
951 0.752755 0.0288834
956 0.758869 0.0706304
961 0.758285 0.0550036
966 0.757418 0.0547565
971 0.756961 0.0191678
976 0.75568 0.0190665
981 0.741164 0.0416944
986 0.738486 0.0342517
991 0.744842 0.0275585
996 0.745859 0.0128798
1001 0.747468 0.021384
1006 0.740455 0.035536
1011 0.743145 0.0405275
1016 0.742598 0.0309659
1021 0.744223 0.0321732
1026 0.743643 0.0320801
1031 0.742942 0.0295397
1036 0.742108 0.0491654
1041 0.73977 0.0428693
1046 0.740645 0.0347136
1051 0.742339 0.0345353
1056 0.742185 0.0401791
1061 0.733765 0.06258
1066 0.732457 0.027907
1071 0.730731 0.0268414
1076 0.735771 0.0255044
1081 0.736626 0.0283364
1086 0.744563 0.0921522
1091 0.744915 0.0274613
1096 0.745369 0.0248521
1101 0.744579 0.0299571
1106 0.743201 0.0290617
1111 0.74541 0.0861113
1116 0.743469 0.0407584
1121 0.741731 0.0327121
1126 0.742488 0.0312333
1131 0.745256 0.0302974
1136 0.738802 0.0469289
1141 0.740746 0.0462928
1146 0.737351 0.0347419
1151 0.732056 0.0282149
1156 0.728385 0.0296937
1161 0.739766 0.0575885
1166 0.737055 0.0459971
1171 0.737173 0.0461713
1176 0.736699 0.0482619
1181 0.738664 0.0395146
1186 0.758986 0.0565878
1191 0.758427 0.025318
1196 0.759898 0.0169921
1201 0.761863 0.0217973
1206 0.759084 0.0291792
1211 0.758905 0.102917
1216 0.756559 0.0204359
1221 0.753221 0.0813022
1226 0.753274 0.0374402
1231 0.753626 0.0277368
1236 0.747464 0.0450895
1241 0.745219 0.0310915
1246 0.751916 0.0263228
1251 0.749238 0.0285714
1256 0.744194 0.0265943
1261 0.727903 0.0440483
1266 0.732745 0.0214367
1271 0.73524 0.0223604
1276 0.742359 0.026335
1281 0.741727 0.0360019
1286 0.741796 0.0570537
1291 0.740973 0.0327607
1296 0.742314 0.0429868
1301 0.744393 0.0342314
1306 0.743753 0.0364679
1311 0.733186 0.0313872
1316 0.726104 0.0328053
1321 0.719788 0.0282514
1326 0.715068 0.0265497
1331 0.71555 0.0151082
1336 0.715923 0.100559
1341 0.712454 0.0585082
1346 0.713184 0.0459039
1351 0.713978 0.0421198
1356 0.717527 0.0451665
1361 0.71474 0.060453
1366 0.716275 0.0464022
1371 0.720412 0.0461875
1376 0.720444 0.0379994
1381 0.720639 0.0306661
1386 0.712065 0.0568147
1391 0.713828 0.0284823
1396 0.716879 0.0294628
1401 0.723612 0.0170083
1406 0.727777 0.0234989
1411 0.742128 0.0344462
1416 0.742132 0.0317397
1421 0.7431 0.067766
1426 0.741694 0.1223
1431 0.742258 0.138088
1436 0.74312 0.163974
1441 0.744482 0.249652
1446 0.747107 0.251916
1451 0.750571 0.176201
1456 0.756811 0.368937
1461 0.770971 0.377741
1466 0.776538 0.375318
1471 0.78204 0.360319
1476 0.787436 0.206673
1481 0.790171 0.28099
1486 0.808484 0.216628
1491 0.813812 0.378353
1496 0.815339 0.447703
1501 0.818674 0.303505
1506 0.822421 0.320541
1511 0.831565 0.626327
1516 0.825525 0.602945
1521 0.826351 0.412159
1526 0.806061 0.470934
1531 0.797638 0.546929
1536 0.782542 0.596094
1541 0.776619 0.567126
1546 0.767535 0.589879
1551 0.746986 0.635431
1556 0.738441 0.594105
1561 0.7362 0.671728
1566 0.74526 0.669861
1571 0.742829 0.66632
1576 0.747541 0.674953
1581 0.765189 0.654108
1586 0.763394 0.495596
1591 0.750972 0.549408
1596 0.748112 0.645231
1601 0.742189 0.663739
1606 0.73509 0.679029
1611 0.734349 0.718187
1616 0.721854 0.691557
1621 0.693303 0.667709
1626 0.690548 0.68727
1631 0.709618 0.631444
1636 0.712288 0.640876
1641 0.720399 0.64906
1646 0.713014 0.583591
1651 0.697999 0.620922
1656 0.705514 0.610704
1661 0.722437 0.596362
1666 0.734199 0.500353
1671 0.750993 0.566482
1676 0.740576 0.60752
1681 0.721056 0.568345
1686 0.69699 0.532299
1691 0.702532 0.55737
1696 0.708144 0.33806
1701 0.711652 0.615631
1706 0.715671 0.588943
1711 0.686589 0.585702
1716 0.668702 0.563022
1721 0.654736 0.573819
1726 0.642695 0.544701
1731 0.599445 0.521356
1736 0.523904 0.550883
1741 0.486217 0.514622
1746 0.451856 0.539758
1751 0.400912 0.55265
1756 0.376477 0.392675
1761 0.369358 0.527615
1766 0.367373 0.507779
1771 0.377202 0.516401
1776 0.386371 0.530605
1781 0.377259 0.516024
1786 0.36444 0.334705
1791 0.339616 0.453249
1796 0.318848 0.436411
1801 0.321992 0.434916
1806 0.321732 0.477307
1811 0.309691 0.466684
1816 0.298387 0.473073
1821 0.291933 0.461766
1826 0.278584 0.475156
1831 0.263281 0.458293
1836 0.252403 0.432554
1841 0.233024 0.425865
1846 0.208018 0.417657
1851 0.180557 0.327522
1856 0.160177 0.28759
1861 0.150579 0.27279
1866 0.138672 0.256021
1871 0.16038 0.264346
1876 0.183713 0.204497
1881 0.221939 0.349874
1886 0.254801 0.366174
1891 0.286427 0.358541
1896 0.298582 0.417033
1901 0.307431 0.431249
1906 0.359314 0.409063
1911 0.358261 0.44263
1916 0.348829 0.415282
